lane,grid_L,grid_points,domain_length,temperature,delta_t,steps,dt,dx,seed,status,mass_drift_abs,order_parameter,xi_proxy,xi_over_L,susceptibility_proxy,binder_proxy,max_abs_c
core_conserved_order_spectral_v1,8,512,8.0,0.9,0.09999999999999998,500,0.05,1.0,17000,OK,4.721700461174372e-17,0.2679953593771479,0.516269752449939,0.06453371905624238,36.97106742150042,0.6598140019117124,0.31032689244953976
core_conserved_order_spectral_v1,8,512,8.0,0.94,0.06000000000000005,500,0.05,1.0,17001,OK,1.3552527156068805e-17,0.18949898659372072,0.5976609977019017,0.07470762471273772,18.767921765796316,0.648037410779349,0.2370603312740947
core_conserved_order_spectral_v1,8,512,8.0,0.97,0.030000000000000027,500,0.05,1.0,17002,OK,3.686287386450715e-18,0.05510580585393499,0.7566587488772765,0.09458234360965956,1.995530881374241,0.4340625498380618,0.1167276548388787
core_conserved_order_spectral_v1,8,512,8.0,0.985,0.015000000000000013,500,0.05,1.0,17003,OK,1.2468324983583301e-18,0.008708811524301465,1.1564887277506477,0.14456109096883096,0.05733082323808737,0.1226943133082008,0.02915585211312619
core_conserved_order_spectral_v1,12,1728,12.0,0.9,0.09999999999999998,650,0.05,1.0,17100,OK,1.8539857149502126e-17,0.26942006799621215,0.5188875965851143,0.043240633048759525,126.01150156250515,0.660768638018308,0.3133484437745895
core_conserved_order_spectral_v1,12,1728,12.0,0.94,0.06000000000000005,650,0.05,1.0,17101,OK,1.0245710529988017e-17,0.19156948312336308,0.607208443853105,0.05060070365442542,64.48002065324405,0.6495010695806143,0.24279674421838943
core_conserved_order_spectral_v1,12,1728,12.0,0.97,0.030000000000000027,650,0.05,1.0,17102,OK,3.279711571768651e-18,0.07789704710484277,0.7791067370689636,0.06492556142241364,12.592186461455917,0.5107027977414885,0.14247792853114116
core_conserved_order_spectral_v1,12,1728,12.0,0.985,0.015000000000000013,650,0.05,1.0,17103,OK,3.447762908503904e-17,0.008933775337383834,1.1103985004711954,0.09253320837259961,0.21443916007312852,0.055655898447002694,0.037841110712027295
core_conserved_order_spectral_v1,16,4096,16.0,0.9,0.09999999999999998,850,0.05,1.0,17200,OK,2.4692704478357363e-17,0.2697368043500803,0.5166946238500753,0.0322934139906297,299.3747002470198,0.660877173312461,0.3171285937797669
core_conserved_order_spectral_v1,16,4096,16.0,0.94,0.06000000000000005,850,0.05,1.0,17201,OK,5.353248226647178e-18,0.19461579644425603,0.6248913881907886,0.03905571176192429,157.298095502781,0.6521052107906413,0.24626065117526952
core_conserved_order_spectral_v1,16,4096,16.0,0.97,0.030000000000000027,850,0.05,1.0,17202,OK,1.0733601507606494e-17,0.0981344670141454,0.7997540753384064,0.0499846297086504,44.0763939453653,0.5764880029693533,0.15915330619860224
core_conserved_order_spectral_v1,16,4096,16.0,0.985,0.015000000000000013,850,0.05,1.0,17203,OK,1.6263032587282567e-19,0.011667036965369226,1.164052834851206,0.07275330217820038,0.8492715093899784,0.08110103913148126,0.048563714491613896
