label,repair_family,replicate_group,grid_L,domain_length,temperature,delta_t,steps,dt,dx,kappa,spinodal_margin,seed,status,mass_drift_abs,order_parameter,xi_proxy,xi_over_L,max_abs_c,order_preserving_xi_pass
t0900_k0100_s2400_seed20001,seed_margin_repair,t0900_k0100_s2400,16,16.0,0.9,0.09999999999999998,2400,0.05,1.0,0.1,0.08457874312329786,20001,OK,9.0801931945661e-19,0.010868197961005903,3.2643887282935244,0.20402429551834528,0.03931819237525427,True
t0900_k0100_s2400_seed20002,seed_margin_repair,t0900_k0100_s2400,16,16.0,0.9,0.09999999999999998,2400,0.05,1.0,0.1,0.08457874312329786,20002,OK,1.4907779871675686e-19,0.009655413923310537,3.211814018431851,0.2007383761519907,0.03978466882469814,True
t0900_k0100_s2400_seed20003,seed_margin_repair,t0900_k0100_s2400,16,16.0,0.9,0.09999999999999998,2400,0.05,1.0,0.1,0.08457874312329786,20003,OK,1.8295911660692887e-19,0.010138173687331987,3.1479560021479984,0.1967472501342499,0.04299801283363732,False
t0900_k0100_s2400_seed20004,seed_margin_repair,t0900_k0100_s2400,16,16.0,0.9,0.09999999999999998,2400,0.05,1.0,0.1,0.08457874312329786,20004,OK,9.75781955236954e-19,0.011556258708250161,3.3112629286144015,0.2069539330384001,0.045428689297339855,True
t0900_k0100_s3200_seed20001,seed_margin_repair,t0900_k0100_s3200,16,16.0,0.9,0.09999999999999998,3200,0.05,1.0,0.1,0.08457874312329786,20001,OK,1.883801274693564e-18,0.025625405838663334,3.3029160545158223,0.2064322534072389,0.09097332693050782,True
t0900_k0100_s3200_seed20002,seed_margin_repair,t0900_k0100_s3200,16,16.0,0.9,0.09999999999999998,3200,0.05,1.0,0.1,0.08457874312329786,20002,OK,1.6940658945086007e-18,0.02239563752207019,3.2465935634716496,0.2029120977169781,0.08991046202627345,True
t0900_k0100_s3200_seed20003,seed_margin_repair,t0900_k0100_s3200,16,16.0,0.9,0.09999999999999998,3200,0.05,1.0,0.1,0.08457874312329786,20003,OK,1.4840017235895342e-18,0.0238592789817849,3.1828813560048848,0.1989300847503053,0.09274148334195627,False
t0900_k0100_s3200_seed20004,seed_margin_repair,t0900_k0100_s3200,16,16.0,0.9,0.09999999999999998,3200,0.05,1.0,0.1,0.08457874312329786,20004,OK,2.927345865710862e-18,0.02728500528268516,3.3319749613340686,0.20824843508337929,0.10170333478059046,True
t0900_k0100_s4000_seed20001,seed_margin_repair,t0900_k0100_s4000,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,20001,OK,1.9122615817213084e-17,0.05679449481990827,3.324806020508358,0.20780037628177236,0.1741185595835798,True
t0900_k0100_s4000_seed20002,seed_margin_repair,t0900_k0100_s4000,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,20002,OK,8.632959798415829e-18,0.05052959260963907,3.2647510018466694,0.20404693761541684,0.17060806658556105,True
t0900_k0100_s4000_seed20003,seed_margin_repair,t0900_k0100_s4000,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,20003,OK,7.77237432400546e-18,0.053882669422536555,3.206843690502123,0.2004277306563827,0.17120706160451218,True
t0900_k0100_s4000_seed20004,seed_margin_repair,t0900_k0100_s4000,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,20004,OK,1.0299920638612292e-17,0.06085143314130116,3.330233559284006,0.20813959745525037,0.18478064051430063,True
