label,repair_family,replicate_group,grid_L,domain_length,temperature,delta_t,steps,dt,dx,kappa,spinodal_margin,seed,status,mass_drift_abs,order_parameter,xi_proxy,xi_over_L,max_abs_c,order_preserving_xi_pass
t0890_k0100,spinodal_window_probe,adjacent_window,16,16.0,0.89,0.10999999999999999,1700,0.05,1.0,0.1,0.09457874312329786,19000,OK,2.981555974335137e-19,0.00911851558277773,2.983228160941101,0.1864517600588188,0.037136956743701696,False
t0895_k0100,spinodal_window_probe,adjacent_window,16,16.0,0.895,0.10499999999999998,1700,0.05,1.0,0.1,0.08957874312329786,19001,OK,1.6805133673525319e-18,0.007416285213667624,3.0362622709392606,0.1897663919337038,0.034586695941875786,False
t0900_k0100,spinodal_window_probe,adjacent_window,16,16.0,0.9,0.09999999999999998,1700,0.05,1.0,0.1,0.08457874312329786,19002,OK,3.6591823321385775e-19,0.005546887947787647,3.163253924091798,0.19770337025573737,0.02299112533537115,False
t0905_k0100,spinodal_window_probe,adjacent_window,16,16.0,0.905,0.09499999999999997,1700,0.05,1.0,0.1,0.07957874312329785,19003,OK,9.351243737687476e-19,0.004231403405154873,3.1459269392371625,0.19662043370232266,0.01707526045004225,False
t0895_k0105,spinodal_window_probe,adjacent_window,16,16.0,0.895,0.10499999999999998,1700,0.05,1.0,0.105,0.08880768027946276,19004,OK,9.486769009248164e-19,0.005352517714494869,3.04163150673032,0.190101969170645,0.02648170823526499,False
t0900_k0105,spinodal_window_probe,adjacent_window,16,16.0,0.9,0.09999999999999998,1700,0.05,1.0,0.105,0.08380768027946275,19005,OK,4.336808689942018e-19,0.004547971439674938,3.2708392091833685,0.20442745057396053,0.017544481322762352,False
t0900_k0110,spinodal_window_probe,adjacent_window,16,16.0,0.9,0.09999999999999998,1700,0.05,1.0,0.11,0.08303661743562765,19006,OK,5.963111948670274e-19,0.0034938431358847895,3.2075622511466104,0.20047264069666315,0.012860657545051106,False
t0905_k0110,spinodal_window_probe,adjacent_window,16,16.0,0.905,0.09499999999999997,1700,0.05,1.0,0.11,0.07803661743562765,19007,OK,8.402566836762659e-19,0.003311839975957586,3.4221350342173174,0.21388343963858233,0.012711177485905972,False
t0900_k0100_seed19008,spinodal_window_replicate,t0900_k0100_steps2400,16,16.0,0.9,0.09999999999999998,2400,0.05,1.0,0.1,0.08457874312329786,19008,OK,8.402566836762659e-19,0.012631250718883984,3.2706634015923584,0.2044164625995224,0.04872157010485982,True
t0900_k0100_seed19108,spinodal_window_replicate,t0900_k0100_steps2400,16,16.0,0.9,0.09999999999999998,2400,0.05,1.0,0.1,0.08457874312329786,19108,OK,4.357137480676121e-18,0.015072402159044228,3.110948512039132,0.19443428200244575,0.0515102529935844,False
t0900_k0100_seed19208,spinodal_window_replicate,t0900_k0100_steps2400,16,16.0,0.9,0.09999999999999998,2400,0.05,1.0,0.1,0.08457874312329786,19208,OK,6.2341624917916505e-19,0.010771629801425466,3.177498488951716,0.19859365555948225,0.05347883748464691,False
t0900_k0100_seed19308,spinodal_window_replicate,t0900_k0100_steps2400,16,16.0,0.9,0.09999999999999998,2400,0.05,1.0,0.1,0.08457874312329786,19308,OK,1.0028870095490916e-18,0.016285187236711136,3.1069205079767404,0.19418253174854627,0.048936970347543185,False
