label,repair_family,grid_L,domain_length,temperature,delta_t,steps,dt,dx,kappa,seed,status,mass_drift_abs,order_parameter,xi_proxy,xi_over_L,max_abs_c
wave17_near_baseline,relaxation_window,16,16.0,0.985,0.015000000000000013,850,0.05,1.0,0.002,18001,OK,6.911788849595091e-19,0.01203665060191667,1.1547182040408397,0.07216988775255248,0.04893512060707875
wave17_near_long_relaxation,relaxation_window,16,16.0,0.985,0.015000000000000013,3400,0.05,1.0,0.002,18002,OK,7.48099499014998e-18,0.06130689154791924,1.2461101197873836,0.07788188248671148,0.1207931840717174
closer_tc_long_relaxation,relaxation_window,16,16.0,0.995,0.0050000000000000044,3400,0.05,1.0,0.002,18003,OK,1.734723475976807e-18,0.0031775813270694944,1.8159638503153333,0.11349774064470833,0.01482552195779745
less_near_tc_long_relaxation,relaxation_window,16,16.0,0.97,0.030000000000000027,3400,0.05,1.0,0.002,18004,OK,9.16896224743835e-17,0.13058552106807356,1.0050926886081928,0.06281829303801205,0.18127748522867007
kappa_sweep_0.0005,kappa_window,16,16.0,0.985,0.015000000000000013,1700,0.05,1.0,0.0005,18101,OK,1.1092743477242317e-17,0.09571552175865683,0.6164838380926282,0.03853023988078926,0.12300433239782894
kappa_sweep_0.002,kappa_window,16,16.0,0.985,0.015000000000000013,1700,0.05,1.0,0.002,18102,OK,1.951563910473908e-18,0.027686299655601286,1.1888982869000266,0.07430614293125166,0.07922806433012868
kappa_sweep_0.01,kappa_window,16,16.0,0.985,0.015000000000000013,1700,0.05,1.0,0.01,18103,OK,1.6263032587282567e-19,0.002100953500957334,2.2844374155243266,0.1427773384702704,0.00867309057244416
kappa_sweep_0.05,kappa_window,16,16.0,0.985,0.015000000000000013,1700,0.05,1.0,0.05,18104,OK,5.421010862427522e-20,0.0007907215612381164,4.211928173896682,0.26324551086854264,0.002817959648987681
kappa_sweep_0.1,kappa_window,16,16.0,0.985,0.015000000000000013,1700,0.05,1.0,0.1,18105,OK,2.0328790734103208e-19,0.0005079146069009005,4.2307585313516665,0.26442240820947915,0.0016958297253686057
kappa_sweep_0.2,kappa_window,16,16.0,0.985,0.015000000000000013,1700,0.05,1.0,0.2,18106,OK,1.0842021724855044e-19,0.0003769578632608298,6.029888809426846,0.3768680505891779,0.001353510528279658
