lane,grid_L,temperature,delta_t,steps,order_parameter,xi_proxy,xi_over_L,susceptibility_proxy
baseline_tdgl,12.0,0.97,0.030000000000000027,700.0,0.17525220928557925,0.8785027644308003,0.07320856370256669,4.879155033597964
spatial_coupled_v1,12.0,0.97,0.030000000000000027,700.0,0.17275309275515036,0.8456864877751243,0.07047387398126036,4.432918207401522
baseline_tdgl,12.0,0.97,0.030000000000000027,1400.0,0.16148941639976558,0.8280442645771692,0.0690036887147641,4.63838549392382
spatial_coupled_v1,12.0,0.97,0.030000000000000027,1400.0,0.18285642190452162,0.8564675296820672,0.07137229414017227,4.736976180902918
baseline_tdgl,12.0,0.97,0.030000000000000027,2800.0,0.16232852709428225,0.8270431698576367,0.06892026415480305,4.304458443802451
spatial_coupled_v1,12.0,0.97,0.030000000000000027,2800.0,0.17010034169843516,0.8847860115362494,0.07373216762802078,4.7685594214766995
baseline_tdgl,12.0,0.985,0.015000000000000013,700.0,0.12304385984951151,0.8549362313602193,0.07124468594668494,4.931061986934752
spatial_coupled_v1,12.0,0.985,0.015000000000000013,700.0,0.11376480650422273,0.8421170351664413,0.07017641959720344,4.913373263689342
baseline_tdgl,12.0,0.985,0.015000000000000013,1400.0,0.1177358779702761,0.8518922549524217,0.07099102124603514,4.9352384710775326
spatial_coupled_v1,12.0,0.985,0.015000000000000013,1400.0,0.12212946340753736,0.866276161335485,0.07218968011129041,4.674585747580082
baseline_tdgl,12.0,0.985,0.015000000000000013,2800.0,0.10568050399798948,0.8400803774996134,0.07000669812496778,4.334328933460213
spatial_coupled_v1,12.0,0.985,0.015000000000000013,2800.0,0.10562064529785446,0.8813724767775385,0.07344770639812821,4.785772391499412
baseline_tdgl,12.0,0.992,0.008000000000000007,700.0,0.09905328060791645,0.8549733506968519,0.07124777922473766,4.850247064184342
spatial_coupled_v1,12.0,0.992,0.008000000000000007,700.0,0.09193689700478866,0.8790318616847795,0.07325265514039829,4.842142666841859
baseline_tdgl,12.0,0.992,0.008000000000000007,1400.0,0.0971844051199066,0.8931556685094951,0.07442963904245793,5.341577307420492
spatial_coupled_v1,12.0,0.992,0.008000000000000007,1400.0,0.0884195947503233,0.8829728832724177,0.07358107360603482,5.368879210372529
baseline_tdgl,12.0,0.992,0.008000000000000007,2800.0,0.08948041249657403,0.8578200871452594,0.07148500726210495,4.922537910603166
spatial_coupled_v1,12.0,0.992,0.008000000000000007,2800.0,0.08475812690411341,0.8819242236002508,0.0734936853000209,5.046733273423529
baseline_tdgl,12.0,0.996,0.0040000000000000036,700.0,0.06331071672168954,0.8003144658094775,0.0666928721507898,4.175718910517413
spatial_coupled_v1,12.0,0.996,0.0040000000000000036,700.0,0.06314048699748923,0.8591538272474974,0.07159615227062478,4.718175504726443
baseline_tdgl,12.0,0.996,0.0040000000000000036,1400.0,0.06355401481588661,0.9022514014396722,0.07518761678663935,5.052688519473672
spatial_coupled_v1,12.0,0.996,0.0040000000000000036,1400.0,0.06471630442346464,0.8502397606312316,0.07085331338593596,4.625678446833291
baseline_tdgl,12.0,0.996,0.0040000000000000036,2800.0,0.06801529286253778,0.9565043483499158,0.07970869569582632,5.4082029230163755
spatial_coupled_v1,12.0,0.996,0.0040000000000000036,2800.0,0.06378069933880026,0.8306062803859262,0.06921719003216052,4.669201254949232
