lane,grid_L,grid_points,temperature,delta_t,steps,order_parameter,xi_proxy,xi_over_L,susceptibility_proxy,binder_proxy
baseline_tdgl,8.0,512.0,0.9,0.09999999999999998,450.0,0.31976281053110484,0.8705749685260177,0.10882187106575221,1.5106688838942153,0.6294768979438753
spatial_coupled_v1,8.0,512.0,0.9,0.09999999999999998,450.0,0.319522709172461,0.8565599137812782,0.10706998922265977,1.0785371588979151,0.6406254638782707
baseline_tdgl,8.0,512.0,0.94,0.06000000000000005,450.0,0.23922593133197667,0.852975049101063,0.10662188113763288,1.4462048641849443,0.6076378639161646
spatial_coupled_v1,8.0,512.0,0.94,0.06000000000000005,450.0,0.24503699798261247,0.8528307725711565,0.10660384657139456,1.2984571123258535,0.6153354738800569
baseline_tdgl,8.0,512.0,0.97,0.030000000000000027,450.0,0.1710950096072471,0.7859241533532728,0.0982405191691591,1.3004789877944403,0.5655289536222421
spatial_coupled_v1,8.0,512.0,0.97,0.030000000000000027,450.0,0.17358953312885336,0.8650056000448477,0.10812570000560597,1.442979083034741,0.5613434444080052
baseline_tdgl,8.0,512.0,0.985,0.015000000000000013,450.0,0.11798355776243377,0.835707350878375,0.10446341885979687,1.1463733486371384,0.48515481259525195
spatial_coupled_v1,8.0,512.0,0.985,0.015000000000000013,450.0,0.12509379627274875,0.7690287736624964,0.09612859670781206,1.2797410666501525,0.4981692629215215
baseline_tdgl,12.0,1728.0,0.9,0.09999999999999998,550.0,0.31040811569287957,0.8258020701833501,0.06881683918194584,4.14171487647792,0.6346264703416129
spatial_coupled_v1,12.0,1728.0,0.9,0.09999999999999998,550.0,0.3182076049671385,0.8352967697284702,0.06960806414403918,4.202967946181593,0.635641823935885
baseline_tdgl,12.0,1728.0,0.94,0.06000000000000005,550.0,0.2353364273619322,0.8979571478003076,0.07482976231669229,4.8218713735384675,0.6054461981838488
spatial_coupled_v1,12.0,1728.0,0.94,0.06000000000000005,550.0,0.23563926402087687,0.856693151385496,0.07139109594879132,4.712622361376661,0.6066358943797645
baseline_tdgl,12.0,1728.0,0.97,0.030000000000000027,550.0,0.16695522831761916,0.8782869852630412,0.07319058210525343,4.704573132359222,0.5537743403987343
spatial_coupled_v1,12.0,1728.0,0.97,0.030000000000000027,550.0,0.170401001773771,0.8055491668744585,0.06712909723953821,4.281067043124365,0.5664154937329686
baseline_tdgl,12.0,1728.0,0.985,0.015000000000000013,550.0,0.1271352378607483,0.8390394370005669,0.06991995308338057,4.576145197824076,0.48829735141239194
spatial_coupled_v1,12.0,1728.0,0.985,0.015000000000000013,550.0,0.12506860936586467,0.8526418303775943,0.07105348586479952,4.637655602887175,0.4814919954360022
baseline_tdgl,16.0,4096.0,0.9,0.09999999999999998,700.0,0.3119680122759585,0.8227320909564636,0.051420755684778975,9.978276471863346,0.6343952551335301
spatial_coupled_v1,16.0,4096.0,0.9,0.09999999999999998,700.0,0.3146781556087781,0.8565454611846766,0.053534091324042285,10.022990045541349,0.6348745493639318
baseline_tdgl,16.0,4096.0,0.94,0.06000000000000005,700.0,0.24078139719984737,0.8334264995700028,0.052089156223125176,10.833063140914936,0.6099079965234699
spatial_coupled_v1,16.0,4096.0,0.94,0.06000000000000005,700.0,0.24407337382650837,0.8568620266845041,0.053553876667781504,10.670216275102337,0.6113246626203337
baseline_tdgl,16.0,4096.0,0.97,0.030000000000000027,700.0,0.17223378256479602,0.8507064233062822,0.05316915145664264,10.627413320899027,0.5645558283269612
spatial_coupled_v1,16.0,4096.0,0.97,0.030000000000000027,700.0,0.1698878279976671,0.8250505887856698,0.051565661799104365,10.655605970090626,0.5599062588995609
baseline_tdgl,16.0,4096.0,0.985,0.015000000000000013,700.0,0.12370803193509225,0.8827055966696661,0.05516909979185413,11.234890366959085,0.4832431194421156
spatial_coupled_v1,16.0,4096.0,0.985,0.015000000000000013,700.0,0.12291165234425484,0.8697592949971222,0.05435995593732014,11.653795211595279,0.4719889406437279
