profile,status,grid_L,temperature,delta_t,steps,order_parameter,xi_proxy,xi_over_L,max_abs_c,mean_info_force_norm,mean_game_force_norm
baseline_tdgl,OK,12.0,0.94,0.06000000000000005,1200.0,0.23370806962303917,0.8388653176959121,0.069905443141326,0.3889233594170198,0.0,0.0
v2_info_only,OK,12.0,0.94,0.06000000000000005,1200.0,0.24142923398036842,0.8168528095480989,0.06807106746234158,0.4145928083466569,0.00023790440208512842,0.0
v2_game_only,OK,12.0,0.94,0.06000000000000005,1200.0,0.23670032639012534,0.8380120992797468,0.06983434160664558,0.3897316446129119,0.0,0.004742462170742776
v2_full,OK,12.0,0.94,0.06000000000000005,1200.0,0.24286642562411073,0.869511116013339,0.07245925966777825,0.4475822255948331,0.000223784644872093,0.005061256907040233
v2_memory_short,OK,12.0,0.94,0.06000000000000005,1200.0,0.2424280203146972,0.8650633620686212,0.07208861350571844,0.442531775299613,0.00019548376061039518,0.0045695022430491394
v2_memory_long,OK,12.0,0.94,0.06000000000000005,1200.0,0.25457441384707474,0.7908875430338661,0.06590729525282217,0.43063115417145176,0.00025689614618042947,0.004907821990205358
baseline_tdgl,OK,12.0,0.97,0.030000000000000027,1200.0,0.17502734934070277,0.8542145117431825,0.0711845426452652,0.32548127483301875,0.0,0.0
v2_info_only,OK,12.0,0.97,0.030000000000000027,1200.0,0.16241353828012442,0.9000473396870053,0.07500394497391712,0.35033792669590996,0.00023202136991089733,0.0
v2_game_only,OK,12.0,0.97,0.030000000000000027,1200.0,0.16779046511047233,0.9135440365620116,0.07612866971350096,0.3303850018737226,0.0,0.005108097348033863
v2_full,OK,12.0,0.97,0.030000000000000027,1200.0,0.16551148549835304,0.8135190649441278,0.06779325541201066,0.34493972285549324,0.00019541697603498185,0.00526744470997223
v2_memory_short,OK,12.0,0.97,0.030000000000000027,1200.0,0.17744603460528585,0.8933655471495703,0.07444712892913086,0.3568727386740022,0.00015549190606055921,0.004867574186221109
v2_memory_long,OK,12.0,0.97,0.030000000000000027,1200.0,0.1604658434848021,0.9155943047962055,0.07629952539968379,0.3590655536611204,0.00016784797565557686,0.0048842899826502355
baseline_tdgl,OK,12.0,0.985,0.015000000000000013,1200.0,0.12926201952228022,0.9607736272645475,0.08006446893871229,0.29914181910052856,0.0,0.0
v2_info_only,OK,12.0,0.985,0.015000000000000013,1200.0,0.12108283819685939,0.8357566844548034,0.06964639037123362,0.3086955452406437,0.00013369329481227433,0.0
v2_game_only,OK,12.0,0.985,0.015000000000000013,1200.0,0.12447247384706438,0.8340347485046732,0.06950289570872277,0.28110481904625684,0.0,0.005100861665480403
v2_full,OK,12.0,0.985,0.015000000000000013,1200.0,0.12102907134342439,0.8686552501491134,0.07238793751242611,0.3107805589570621,0.00012689502991214532,0.004954866718025046
v2_memory_short,OK,12.0,0.985,0.015000000000000013,1200.0,0.12902093781462612,0.8939089099969708,0.07449240916641424,0.3014010544766158,0.00014547020115723128,0.0047522302028763595
v2_memory_long,OK,12.0,0.985,0.015000000000000013,1200.0,0.11994832275596926,0.8619743196964859,0.07183119330804048,0.33561576551907374,0.00013895755002200298,0.004909542622971584
baseline_tdgl,OK,12.0,0.992,0.008000000000000007,1200.0,0.08662533134955398,0.8349800340048565,0.06958166950040472,0.2659065782237282,0.0,0.0
v2_info_only,OK,12.0,0.992,0.008000000000000007,1200.0,0.09395580931929955,0.8272783245907284,0.0689398603825607,0.27327544357662015,9.525715255252764e-05,0.0
v2_game_only,OK,12.0,0.992,0.008000000000000007,1200.0,0.08892457409790741,0.8461119896654317,0.07050933247211931,0.26900595610369477,0.0,0.005157629150312212
v2_full,OK,12.0,0.992,0.008000000000000007,1200.0,0.09086118483982482,0.8411084242957635,0.07009236869131362,0.26077519532936705,0.00013423480096960504,0.005493057398508669
v2_memory_short,OK,12.0,0.992,0.008000000000000007,1200.0,0.09680481198099401,0.8601400785162728,0.07167833987635606,0.2541449259137558,0.00013022448218120254,0.0048216046154766715
v2_memory_long,OK,12.0,0.992,0.008000000000000007,1200.0,0.09849927528516846,0.9155190792119651,0.07629325660099709,0.2958994369859814,0.00013226388438333862,0.005298373222156013
