lane,status,grid_L,temperature,delta_t,steps,order_parameter,xi_proxy,xi_over_L,max_abs_c
baseline_tdgl,OK,12.0,0.94,0.06000000000000005,1200.0,0.24334826407672366,0.8382657693238482,0.06985548077698735,0.40599441718819707
spatial_coupled_v1,OK,12.0,0.94,0.06000000000000005,1200.0,0.24477129052851765,0.877540734764046,0.0731283945636705,0.3923995685365843
spatial_coupled_v2,OK,12.0,0.94,0.06000000000000005,1200.0,0.24806601110430912,0.831318604966281,0.06927655041385675,0.41002881546231756
baseline_tdgl,OK,12.0,0.97,0.030000000000000027,1200.0,0.16532307711086439,0.8593833113590477,0.0716152759465873,0.3343545298855238
spatial_coupled_v1,OK,12.0,0.97,0.030000000000000027,1200.0,0.16598053695995965,0.8392121805825696,0.0699343483818808,0.34095741885196873
spatial_coupled_v2,OK,12.0,0.97,0.030000000000000027,1200.0,0.17040460348255942,0.8772958092114879,0.07310798410095733,0.3204166677889209
baseline_tdgl,OK,12.0,0.985,0.015000000000000013,1200.0,0.12200612347786198,0.9317006161936082,0.07764171801613402,0.31120424993603407
spatial_coupled_v1,OK,12.0,0.985,0.015000000000000013,1200.0,0.118632254757616,0.8434319128124038,0.07028599273436699,0.288977322367788
spatial_coupled_v2,OK,12.0,0.985,0.015000000000000013,1200.0,0.12546887630435097,0.8797384457918555,0.07331153714932129,0.31206260829482907
baseline_tdgl,OK,12.0,0.992,0.008000000000000007,1200.0,0.08536310620264287,0.9580714177226601,0.07983928481022168,0.2507005475206716
spatial_coupled_v1,OK,12.0,0.992,0.008000000000000007,1200.0,0.08918842228210197,0.9748534180800877,0.08123778484000731,0.25701877366630516
spatial_coupled_v2,OK,12.0,0.992,0.008000000000000007,1200.0,0.08737918168226316,0.8548582956330093,0.07123819130275078,0.25033679557851285
