series_id,naics4,year,hours_million
IPUAN1111__L200000000,1111,1987,1282.325
IPUAN1111__L200000000,1111,1988,1246.252
IPUAN1111__L200000000,1111,1989,1230.045
IPUAN1111__L200000000,1111,1990,1158.567
IPUAN1111__L200000000,1111,1991,1136.56
IPUAN1111__L200000000,1111,1992,1120.728
IPUAN1111__L200000000,1111,1993,1067.35
IPUAN1111__L200000000,1111,1994,980.683
IPUAN1111__L200000000,1111,1995,1041.092
IPUAN1111__L200000000,1111,1996,1026.392
IPUAN1111__L200000000,1111,1997,1171.065
IPUAN1111__L200000000,1111,1998,1031.21
IPUAN1111__L200000000,1111,1999,976.11
IPUAN1111__L200000000,1111,2000,979.175
IPUAN1111__L200000000,1111,2001,945.843
IPUAN1111__L200000000,1111,2002,966.74
IPUAN1111__L200000000,1111,2003,937.917
IPUAN1111__L200000000,1111,2004,1010.385
IPUAN1111__L200000000,1111,2005,931.038
IPUAN1111__L200000000,1111,2006,845.577
IPUAN1111__L200000000,1111,2007,989.742
IPUAN1111__L200000000,1111,2008,1027.966
IPUAN1111__L200000000,1111,2009,1056.959
IPUAN1111__L200000000,1111,2010,1068.403
IPUAN1111__L200000000,1111,2011,1133.406
IPUAN1111__L200000000,1111,2012,1167.996
IPUAN1111__L200000000,1111,2013,1273.824
IPUAN1111__L200000000,1111,2014,1116.569
IPUAN1111__L200000000,1111,2015,1058.475
IPUAN1111__L200000000,1111,2016,1087.703
IPUAN1111__L200000000,1111,2017,1072.773
IPUAN1111__L200000000,1111,2018,1031.787
IPUAN1111__L200000000,1111,2019,1016.447
IPUAN1111__L200000000,1111,2020,1075.442
IPUAN1111__L200000000,1111,2021,1051.015
IPUAN1111__L200000000,1111,2022,1022.079
IPUAN1111__L200000000,1111,2023,975.213
IPUAN1111__L200000000,1111,2024,918.317
IPUAN1112__L200000000,1112,1987,223.066
IPUAN1112__L200000000,1112,1988,222.139
IPUAN1112__L200000000,1112,1989,222.677
IPUAN1112__L200000000,1112,1990,214.052
IPUAN1112__L200000000,1112,1991,214.668
IPUAN1112__L200000000,1112,1992,210.538
IPUAN1112__L200000000,1112,1993,204.749
IPUAN1112__L200000000,1112,1994,197.695
IPUAN1112__L200000000,1112,1995,211.082
IPUAN1112__L200000000,1112,1996,208.814
IPUAN1112__L200000000,1112,1997,221.569
IPUAN1112__L200000000,1112,1998,225.692
IPUAN1112__L200000000,1112,1999,240.586
IPUAN1112__L200000000,1112,2000,235.495
IPUAN1112__L200000000,1112,2001,224.998
IPUAN1112__L200000000,1112,2002,225.082
IPUAN1112__L200000000,1112,2003,239.46
IPUAN1112__L200000000,1112,2004,257.934
IPUAN1112__L200000000,1112,2005,252.232
IPUAN1112__L200000000,1112,2006,235.487
IPUAN1112__L200000000,1112,2007,240.948
IPUAN1112__L200000000,1112,2008,248.254
IPUAN1112__L200000000,1112,2009,253.419
IPUAN1112__L200000000,1112,2010,265.737
IPUAN1112__L200000000,1112,2011,272.347
IPUAN1112__L200000000,1112,2012,255.169
IPUAN1112__L200000000,1112,2013,318.566
IPUAN1112__L200000000,1112,2014,254.373
IPUAN1112__L200000000,1112,2015,271.829
IPUAN1112__L200000000,1112,2016,218.932
IPUAN1112__L200000000,1112,2017,242.938
IPUAN1112__L200000000,1112,2018,238.358
IPUAN1112__L200000000,1112,2019,230.404
IPUAN1112__L200000000,1112,2020,245.131
IPUAN1112__L200000000,1112,2021,243.971
IPUAN1112__L200000000,1112,2022,230.673
IPUAN1112__L200000000,1112,2023,262.752
IPUAN1112__L200000000,1112,2024,252.651
IPUAN1113__L200000000,1113,1987,449.807
IPUAN1113__L200000000,1113,1988,449.22
IPUAN1113__L200000000,1113,1989,449.302
IPUAN1113__L200000000,1113,1990,432.196
IPUAN1113__L200000000,1113,1991,445.107
IPUAN1113__L200000000,1113,1992,435.577
IPUAN1113__L200000000,1113,1993,415.955
IPUAN1113__L200000000,1113,1994,399.422
IPUAN1113__L200000000,1113,1995,419.005
IPUAN1113__L200000000,1113,1996,408.265
IPUAN1113__L200000000,1113,1997,426.15
IPUAN1113__L200000000,1113,1998,434.993
IPUAN1113__L200000000,1113,1999,477.611
IPUAN1113__L200000000,1113,2000,471.151
IPUAN1113__L200000000,1113,2001,450.053
IPUAN1113__L200000000,1113,2002,455.253
IPUAN1113__L200000000,1113,2003,446.541
IPUAN1113__L200000000,1113,2004,473.874
IPUAN1113__L200000000,1113,2005,489.381
IPUAN1113__L200000000,1113,2006,473.418
IPUAN1113__L200000000,1113,2007,476.192
IPUAN1113__L200000000,1113,2008,497.207
IPUAN1113__L200000000,1113,2009,464.195
IPUAN1113__L200000000,1113,2010,455.495
