company,cik,sector,fiscal_year,net_income_usd,operating_cash_flow_usd,capex_raw_usd,debt_proceeds_usd,debt_repayments_raw_usd,common_dividends_raw_usd,cash_balance_usd,capex_outflow_scale_usd,debt_repayment_scale_usd,retained_profit_proxy_usd
amazon,0001018724,retail_logistics,2010,645000000.0,1697000000.0,333000000.0,,,,2539000000.0,333000000.0,,645000000.0
amazon,0001018724,retail_logistics,2011,902000000.0,3293000000.0,373000000.0,,,,2769000000.0,373000000.0,,902000000.0
amazon,0001018724,retail_logistics,2012,1152000000.0,3495000000.0,979000000.0,,,,3444000000.0,979000000.0,,1152000000.0
amazon,0001018724,retail_logistics,2013,631000000.0,3903000000.0,1811000000.0,,,,3777000000.0,1811000000.0,,631000000.0
amazon,0001018724,retail_logistics,2014,-39000000.0,4180000000.0,3785000000.0,,,,5269000000.0,3785000000.0,,-39000000.0
amazon,0001018724,retail_logistics,2015,274000000.0,5475000000.0,3444000000.0,,,,8084000000.0,3444000000.0,,274000000.0
amazon,0001018724,retail_logistics,2016,-241000000.0,6842000000.0,4893000000.0,6359000000.0,,,8658000000.0,4893000000.0,,-241000000.0
amazon,0001018724,retail_logistics,2017,596000000.0,12039000000.0,,353000000.0,,,14557000000.0,,,596000000.0
amazon,0001018724,retail_logistics,2018,2371000000.0,17203000000.0,,618000000.0,,,20522000000.0,,,2371000000.0
amazon,0001018724,retail_logistics,2019,3033000000.0,18365000000.0,,16228000000.0,,,31750000000.0,,,3033000000.0
amazon,0001018724,retail_logistics,2020,10073000000.0,30723000000.0,,182000000.0,,,36092000000.0,,,10073000000.0
amazon,0001018724,retail_logistics,2021,11588000000.0,38514000000.0,,871000000.0,1166000000.0,,42122000000.0,,1166000000.0,11588000000.0
amazon,0001018724,retail_logistics,2022,21331000000.0,66064000000.0,,10525000000.0,1553000000.0,,36220000000.0,,1553000000.0,21331000000.0
amazon,0001018724,retail_logistics,2023,33364000000.0,46327000000.0,,19003000000.0,1590000000.0,,53888000000.0,,1590000000.0,33364000000.0
amazon,0001018724,retail_logistics,2024,-2722000000.0,46752000000.0,,21166000000.0,1258000000.0,,73387000000.0,,1258000000.0,-2722000000.0
apple,0000320193,technology,2010,6119000000.0,9596000000.0,,,,,9352000000.0,,,6119000000.0
apple,0000320193,technology,2011,8235000000.0,10159000000.0,,,,,11875000000.0,,,8235000000.0
apple,0000320193,technology,2012,14013000000.0,18595000000.0,,,,,5263000000.0,,,14013000000.0
apple,0000320193,technology,2013,25922000000.0,37529000000.0,,0.0,,,11261000000.0,,,25922000000.0
apple,0000320193,technology,2014,41733000000.0,,,0.0,,,9815000000.0,,,41733000000.0
apple,0000320193,technology,2015,37037000000.0,,8165000000.0,16896000000.0,,,10746000000.0,8165000000.0,,37037000000.0
apple,0000320193,technology,2016,39510000000.0,,9571000000.0,11960000000.0,0.0,,14259000000.0,9571000000.0,0.0,39510000000.0
apple,0000320193,technology,2017,53394000000.0,81266000000.0,11247000000.0,27114000000.0,0.0,11965000000.0,13844000000.0,11247000000.0,0.0,65359000000.0
apple,0000320193,technology,2018,45687000000.0,66231000000.0,12734000000.0,24954000000.0,2500000000.0,,21120000000.0,12734000000.0,2500000000.0,45687000000.0
apple,0000320193,technology,2019,48351000000.0,64225000000.0,12451000000.0,28662000000.0,3500000000.0,,25913000000.0,12451000000.0,3500000000.0,48351000000.0
apple,0000320193,technology,2020,59531000000.0,77434000000.0,13313000000.0,6969000000.0,6500000000.0,,48844000000.0,13313000000.0,6500000000.0,59531000000.0
apple,0000320193,technology,2021,55256000000.0,69391000000.0,10495000000.0,6963000000.0,8805000000.0,,38016000000.0,10495000000.0,8805000000.0,55256000000.0
