recipient_name,normalized_recipient_name,recipient_role,match_status,sec_cik,sec_ticker,sec_title,subaward_rows_all_year,subaward_amount_all_year_usd,subaward_rows_primary_year,subaward_amount_primary_year_usd,prime_transaction_rows_all_year,prime_transaction_amount_all_year_usd,prime_transaction_rows_primary_year,prime_transaction_amount_primary_year_usd
2G ENGINEERING LLC,2GENGINEERINGLLC,downstream_subaward,NO_EXACT_MATCH,,,,1,431029.98,1,431029.98,0,0.0,0,0.0
323 CAPITAL LLC,323CAPITALLLC,downstream_subaward,NO_EXACT_MATCH,,,,1,16525.0,0,0.0,0,0.0,0,0.0
"3M TECHNICAL CERAMICS QUAPAW, LLC",3MTECHNICALCERAMICSQUAPAWLLC,downstream_subaward,NO_EXACT_MATCH,,,,2,135800.0,2,135800.0,0,0.0,0,0.0
"4 STAR TECHNOLOGIES, INC.",4STARTECHNOLOGIESINC,prime_award,NO_EXACT_MATCH,,,,0,0.0,0,0.0,1,0.0,1,0.0
49CHESTNUT LLC,49CHESTNUTLLC,prime_award,NO_EXACT_MATCH,,,,0,0.0,0,0.0,1,16723.0,1,16723.0
5S COMPONENTS INC,5SCOMPONENTSINC,downstream_subaward,NO_EXACT_MATCH,,,,1,79580.0,0,0.0,0,0.0,0,0.0
"6K ADDITIVE, INC.",6KADDITIVEINC,downstream_subaward,NO_EXACT_MATCH,,,,2,135600.0,0,0.0,0,0.0,0,0.0
908 DEVICES INC,908DEVICESINC,downstream_subaward,EXACT_UNIQUE,0001555279,MASS,908 Devices Inc.,4,269370.0,3,205150.0,0,0.0,0,0.0
"A-1 PEST CONTROL, LLC",A1PESTCONTROLLLC,downstream_subaward,NO_EXACT_MATCH,,,,1,176600.0,1,176600.0,0,0.0,0,0.0
"A. BLAIR POWELL COMPANY, INC.",ABLAIRPOWELLCOMPANYINC,downstream_subaward,NO_EXACT_MATCH,,,,9,1761111.66,1,1279913.0,0,0.0,0,0.0
"A. V. LAUTTAMUS COMMUNICATIONS, INC.",AVLAUTTAMUSCOMMUNICATIONSINC,downstream_subaward,NO_EXACT_MATCH,,,,5,701350.18,3,145632.25,0,0.0,0,0.0
"A. W. MILLER TECHNICAL SALES, INC.",AWMILLERTECHNICALSALESINC,downstream_subaward,NO_EXACT_MATCH,,,,3,1055322.0,3,1055322.0,0,0.0,0,0.0
"A.C.I. CONTROLS, INC.",ACICONTROLSINC,downstream_subaward,NO_EXACT_MATCH,,,,1,67855.0,0,0.0,0,0.0,0,0.0
"ABBA TECHNOLOGIES, INC.",ABBATECHNOLOGIESINC,downstream_subaward+prime_award,NO_EXACT_MATCH,,,,4,524601.13,2,213107.17,2,9308.06,2,9308.06
ABM ELECTRICAL POWER SOLUTIONS LLC,ABMELECTRICALPOWERSOLUTIONSLLC,downstream_subaward,NO_EXACT_MATCH,,,,1,98320.0,0,0.0,0,0.0,0,0.0
"ABM FACILITY SUPPORT SERVICES, LLC",ABMFACILITYSUPPORTSERVICESLLC,prime_award,NO_EXACT_MATCH,,,,0,0.0,0,0.0,1,373683.88,1,373683.88
ACADEMI TRAINING CENTER LLC,ACADEMITRAININGCENTERLLC,downstream_subaward,NO_EXACT_MATCH,,,,3,123544.86,0,0.0,0,0.0,0,0.0
"ACATO INFORMATION MANAGEMENT, LLC",ACATOINFORMATIONMANAGEMENTLLC,prime_award,NO_EXACT_MATCH,,,,0,0.0,0,0.0,1,4373679.5,1,4373679.5
ACCENTURE FEDERAL SERVICES LLC,ACCENTUREFEDERALSERVICESLLC,prime_award,NO_EXACT_MATCH,,,,0,0.0,0,0.0,7,8357387.45,7,8357387.45
ACCESS ANVIL CORP,ACCESSANVILCORP,downstream_subaward,NO_EXACT_MATCH,,,,2,380158.1,1,132857.2,0,0.0,0,0.0
"ACCU-TIME SYSTEMS, INC.",ACCUTIMESYSTEMSINC,downstream_subaward,NO_EXACT_MATCH,,,,1,121686.27,0,0.0,0,0.0,0,0.0
ACCUTREX PRODUCTS INC,ACCUTREXPRODUCTSINC,downstream_subaward,NO_EXACT_MATCH,,,,1,122150.0,0,0.0,0,0.0,0,0.0
"ACE FEDERAL REPORTERS, INC.",ACEFEDERALREPORTERSINC,prime_award,NO_EXACT_MATCH,,,,0,0.0,0,0.0,1,242047.19,1,242047.19
ACE GLASS INC,ACEGLASSINC,downstream_subaward,NO_EXACT_MATCH,,,,1,36184.0,0,0.0,0,0.0,0,0.0
ACOPIAN TECHNICAL COMPANY,ACOPIANTECHNICALCOMPANY,downstream_subaward,NO_EXACT_MATCH,,,,2,135756.39,2,135756.39,0,0.0,0,0.0
"ACOUSTICAL INTERIORS, INC.",ACOUSTICALINTERIORSINC,downstream_subaward,NO_EXACT_MATCH,,,,1,39655.0,1,39655.0,0,0.0,0,0.0
ACQUISITION RESEARCH & LOGISTICS INC,ACQUISITIONRESEARCHANDLOGISTICSINC,prime_award,NO_EXACT_MATCH,,,,0,0.0,0,0.0,1,142033.5,1,142033.5
"ADEK TECHNICAL SALES, INC.",ADEKTECHNICALSALESINC,downstream_subaward,NO_EXACT_MATCH,,,,3,205181.0,1,35397.12,0,0.0,0,0.0
"ADVA CERA, LLC",ADVACERALLC,downstream_subaward,NO_EXACT_MATCH,,,,1,2500.0,0,0.0,0,0.0,0,0.0
"ADVANCED COMPUTER CONCEPTS, INC.",ADVANCEDCOMPUTERCONCEPTSINC,prime_award,NO_EXACT_MATCH,,,,0,0.0,0,0.0,1,362258.52,1,362258.52
"ADVANCED INDUSTRIAL, LLC",ADVANCEDINDUSTRIALLLC,downstream_subaward,NO_EXACT_MATCH,,,,3,266350.53,1,35796.6,0,0.0,0,0.0
"ADVANCED MAGNET LAB, INC.",ADVANCEDMAGNETLABINC,downstream_subaward,NO_EXACT_MATCH,,,,1,283000.0,0,0.0,0,0.0,0,0.0
ADVANCED MEASUREMENT TECHNOLOGY INC,ADVANCEDMEASUREMENTTECHNOLOGYINC,downstream_subaward+prime_award,NO_EXACT_MATCH,,,,2,57257.91,0,0.0,1,119121.0,1,119121.0
ADVANCED OPTICAL TECHNOLOGIES INC,ADVANCEDOPTICALTECHNOLOGIESINC,downstream_subaward,NO_EXACT_MATCH,,,,1,82000.0,0,0.0,0,0.0,0,0.0
"ADVANCED PRECISION MACHINING, INC",ADVANCEDPRECISIONMACHININGINC,downstream_subaward,NO_EXACT_MATCH,,,,3,103259.0,0,0.0,0,0.0,0,0.0
"ADVANCED SIMULATION TECHNOLOGY, INC.",ADVANCEDSIMULATIONTECHNOLOGYINC,downstream_subaward,NO_EXACT_MATCH,,,,1,206135.0,1,206135.0,0,0.0,0,0.0
"ADVANCEDPCB, INC.",ADVANCEDPCBINC,downstream_subaward,NO_EXACT_MATCH,,,,1,100000.0,0,0.0,0,0.0,0,0.0
ADVANTAGE ENGINEERING INC,ADVANTAGEENGINEERINGINC,downstream_subaward,NO_EXACT_MATCH,,,,1,30715.0,0,0.0,0,0.0,0,0.0
ADVETAGE SOLUTIONS LLC,ADVETAGESOLUTIONSLLC,downstream_subaward,NO_EXACT_MATCH,,,,1,382888.0,0,0.0,0,0.0,0,0.0
"AEGEUS INSPECTION SOLUTIONS, INC.",AEGEUSINSPECTIONSOLUTIONSINC,downstream_subaward,NO_EXACT_MATCH,,,,1,80410.0,0,0.0,0,0.0,0,0.0
"AEROG, LLC",AEROGLLC,downstream_subaward,NO_EXACT_MATCH,,,,1,25000.0,0,0.0,0,0.0,0,0.0
"AFFIGENT, LLC",AFFIGENTLLC,prime_award,NO_EXACT_MATCH,,,,0,0.0,0,0.0,3,124420.57,3,124420.57
"AGGREKO, LLC",AGGREKOLLC,downstream_subaward,NO_EXACT_MATCH,,,,3,194793.87,0,0.0,0,0.0,0,0.0
