recipient_name,recipient_role,sec_cik,sec_ticker,sec_title,fiscal_year,subaward_rows_primary_year,subaward_amount_primary_year_usd,prime_transaction_rows_primary_year,prime_transaction_amount_primary_year_usd,net_income_usd,operating_cash_flow_usd,capex_raw_usd,debt_proceeds_usd,debt_repayments_raw_usd,common_dividends_raw_usd,cash_balance_usd,capex_outflow_scale_usd,debt_repayment_scale_usd,debt_net_issuance_scale_usd
908 DEVICES INC,downstream_subaward,0001555279,MASS,908 Devices Inc.,2021,3,205150.0,0,0.0,-12819000.0,4131000.0,9000.0,,,,159227000.0,9000.0,,
908 DEVICES INC,downstream_subaward,0001555279,MASS,908 Devices Inc.,2022,3,205150.0,0,0.0,-22169000.0,-29082000.0,737000.0,,,,224073000.0,737000.0,,
908 DEVICES INC,downstream_subaward,0001555279,MASS,908 Devices Inc.,2023,3,205150.0,0,0.0,-33563000.0,-20930000.0,2045000.0,,,,188422000.0,2045000.0,,
908 DEVICES INC,downstream_subaward,0001555279,MASS,908 Devices Inc.,2024,3,205150.0,0,0.0,-36399000.0,-25059000.0,2045000.0,,,,121041000.0,2045000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2010,2,239967.16,0,0.0,,756000000.0,154000000.0,16000000.0,,,1826000000.0,154000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2011,2,239967.16,0,0.0,,408000000.0,128000000.0,,,,1405000000.0,128000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2012,2,239967.16,0,0.0,,718000000.0,121000000.0,,,0.0,2479000000.0,121000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2013,2,239967.16,0,0.0,,1260000000.0,188000000.0,,,0.0,2649000000.0,188000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2014,2,239967.16,0,0.0,,1228000000.0,194000000.0,,,104000000.0,3527000000.0,194000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2015,2,239967.16,0,0.0,,1152000000.0,195000000.0,,,156000000.0,2218000000.0,195000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2016,2,239967.16,0,0.0,,731000000.0,205000000.0,,,176000000.0,2003000000.0,205000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2017,2,239967.16,0,0.0,,512000000.0,98000000.0,,,133000000.0,2003000000.0,98000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2018,2,239967.16,0,0.0,,793000000.0,139000000.0,,,150000000.0,2003000000.0,139000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2019,2,239967.16,0,0.0,,889000000.0,176000000.0,,,170000000.0,2678000000.0,176000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2020,2,239967.16,0,0.0,,1087000000.0,177000000.0,,,191000000.0,2247000000.0,177000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2021,2,239967.16,0,0.0,,1021000000.0,155000000.0,,,206000000.0,1382000000.0,155000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2022,2,239967.16,0,0.0,719000000.0,921000000.0,119000000.0,,,222000000.0,1441000000.0,119000000.0,,
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2023,2,239967.16,0,0.0,1210000000.0,1485000000.0,188000000.0,848000000.0,417000000.0,236000000.0,1484000000.0,188000000.0,417000000.0,431000000.0
AGILENT TECHNOLOGIES INC,downstream_subaward,0001090872,A,"AGILENT TECHNOLOGIES, INC.",2024,2,239967.16,0,0.0,1254000000.0,1312000000.0,291000000.0,600000000.0,609000000.0,250000000.0,1053000000.0,291000000.0,609000000.0,-9000000.0
AVNET INC,downstream_subaward,0000008858,AVT,AVNET INC,2010,1,101440.06,0,0.0,489578000.0,453617000.0,89657000.0,,,,557350000.0,89657000.0,,
AVNET INC,downstream_subaward,0000008858,AVT,AVNET INC,2011,1,101440.06,0,0.0,-1129712000.0,1118035000.0,110219000.0,,,,640449000.0,110219000.0,,
AVNET INC,downstream_subaward,0000008858,AVT,AVNET INC,2012,1,101440.06,0,0.0,410370000.0,-30415000.0,66888000.0,,,,943921000.0,66888000.0,,
AVNET INC,downstream_subaward,0000008858,AVT,AVNET INC,2013,1,101440.06,0,0.0,669069000.0,278079000.0,148707000.0,,,,1092102000.0,148707000.0,,
AVNET INC,downstream_subaward,0000008858,AVT,AVNET INC,2014,1,101440.06,0,0.0,567019000.0,528718000.0,128652000.0,,,0.0,675334000.0,128652000.0,,
AVNET INC,downstream_subaward,0000008858,AVT,AVNET INC,2015,1,101440.06,0,0.0,,,97379000.0,,,82755000.0,1006864000.0,97379000.0,,
