endpoint,record_date,classification_desc,amount_field,amount_usd,fiscal_year
debt_to_penny,2024-09-30,Total public debt,tot_pub_debt_out_amt,35464673929171.69,2024
mts_table_1,2024-09-30,April,current_month_dfct_sur_amt,-209529306625.33,2024
mts_table_1,2024-09-30,April,current_month_dfct_sur_amt,-176180790349.12,2024
mts_table_1,2024-09-30,August,current_month_dfct_sur_amt,-89255572693.73,2024
mts_table_1,2024-09-30,August,current_month_dfct_sur_amt,380080405434.5,2024
mts_table_1,2024-09-30,December,current_month_dfct_sur_amt,85000736577.88,2024
mts_table_1,2024-09-30,December,current_month_dfct_sur_amt,129354114564.24,2024
mts_table_1,2024-09-30,FY 2023,,,2024
mts_table_1,2024-09-30,FY 2024,,,2024
mts_table_1,2024-09-30,February,current_month_dfct_sur_amt,296274651841.19,2024
mts_table_1,2024-09-30,February,current_month_dfct_sur_amt,262433843194.23,2024
mts_table_1,2024-09-30,January,current_month_dfct_sur_amt,21930352569.72,2024
mts_table_1,2024-09-30,January,current_month_dfct_sur_amt,38783772139.22,2024
mts_table_1,2024-09-30,July,current_month_dfct_sur_amt,243741087297.43,2024
mts_table_1,2024-09-30,July,current_month_dfct_sur_amt,220782097353.6,2024
mts_table_1,2024-09-30,June,current_month_dfct_sur_amt,70965292476.34,2024
mts_table_1,2024-09-30,June,current_month_dfct_sur_amt,227768412538.05,2024
mts_table_1,2024-09-30,March,current_month_dfct_sur_amt,236555953275.22,2024
mts_table_1,2024-09-30,March,current_month_dfct_sur_amt,378435015173.86,2024
mts_table_1,2024-09-30,May,current_month_dfct_sur_amt,347130893691.65,2024
mts_table_1,2024-09-30,May,current_month_dfct_sur_amt,240348239658.37,2024
mts_table_1,2024-09-30,November,current_month_dfct_sur_amt,248534880652.58,2024
mts_table_1,2024-09-30,November,current_month_dfct_sur_amt,314012002287.09,2024
mts_table_1,2024-09-30,October,current_month_dfct_sur_amt,87874164113.17,2024
mts_table_1,2024-09-30,October,current_month_dfct_sur_amt,66563551129.73,2024
mts_table_1,2024-09-30,September,current_month_dfct_sur_amt,170714937660.56,2024
mts_table_1,2024-09-30,September,current_month_dfct_sur_amt,-64263008867.74,2024
mts_table_1,2024-09-30,Year-to-Date,current_month_dfct_sur_amt,1695239736018.67,2024
mts_table_1,2024-09-30,Year-to-Date,current_month_dfct_sur_amt,1832815989074.04,2024
mts_table_2,2024-09-30,Borrowing from the Public,current_fytd_budget_amt,1959809451328.12,2024
mts_table_2,2024-09-30,By Other Means,current_fytd_budget_amt,101842750421.51,2024
mts_table_2,2024-09-30,Means of Financing:,,,2024
mts_table_2,2024-09-30,Off-Budget Outlays,current_fytd_budget_amt,1320311462651.75,2024
mts_table_2,2024-09-30,Off-Budget Receipts,current_fytd_budget_amt,1259882731356.88,2024
mts_table_2,2024-09-30,Off-Budget Surplus (+) or Deficit (-),current_fytd_budget_amt,-60428731294.87,2024
mts_table_2,2024-09-30,On-Budget Outlays,current_fytd_budget_amt,5431240171160.54,2024
mts_table_2,2024-09-30,On-Budget Receipts,current_fytd_budget_amt,3658852913381.37,2024
mts_table_2,2024-09-30,On-Budget Surplus (+) or Deficit (-),current_fytd_budget_amt,-1772387257779.17,2024
mts_table_2,2024-09-30,"Reduction of Operating Cash, Increase (-)",current_fytd_budget_amt,-228836065771.59,2024
mts_table_2,2024-09-30,Total On-Budget and Off-Budget Financing,current_fytd_budget_amt,1832815989074.04,2024
mts_table_2,2024-09-30,Total On-Budget and Off-Budget Results:,,,2024
mts_table_2,2024-09-30,Total Outlays,current_fytd_budget_amt,6751551633812.29,2024
mts_table_2,2024-09-30,Total Receipts,current_fytd_budget_amt,4918735644738.25,2024
mts_table_2,2024-09-30,Total Surplus (+) or Deficit (-),current_fytd_budget_amt,-1832815989074.04,2024
mts_table_4,2024-09-30,Adjustments Attrbutable to Prior Years-SECA,current_fytd_net_rcpt_amt,2930581466.21,2024
mts_table_4,2024-09-30,Adjustments Attributable to Prior Years-FICA,current_fytd_net_rcpt_amt,7204123829.09,2024
mts_table_4,2024-09-30,Adjustments Attributable to Prior Years-FICA,current_fytd_net_rcpt_amt,22854040331.43,2024
mts_table_4,2024-09-30,Adjustments Attributable to Prior Years-FICA,current_fytd_net_rcpt_amt,3886385576.39,2024
mts_table_4,2024-09-30,Adjustments Attributable to Prior Years-SECA,current_fytd_net_rcpt_amt,2663322850.95,2024
mts_table_4,2024-09-30,Adjustments Attributable to Prior Years-SECA,current_fytd_net_rcpt_amt,507467982.85,2024
mts_table_4,2024-09-30,Airport and Airway Trust Fund,current_fytd_net_rcpt_amt,17549918017.04,2024
mts_table_4,2024-09-30,All Other,current_fytd_net_rcpt_amt,31648401721.01,2024
mts_table_4,2024-09-30,Black Lung Disability Trust Fund,current_fytd_net_rcpt_amt,270838975.0,2024
mts_table_4,2024-09-30,Corporation Income Taxes,current_fytd_net_rcpt_amt,529866802637.57,2024
mts_table_4,2024-09-30,Customs Duties,current_fytd_net_rcpt_amt,77036909944.89,2024
mts_table_4,2024-09-30,"Deposit of Earnings, Federal Reserve System",current_fytd_net_rcpt_amt,3130982471.65,2024
mts_table_4,2024-09-30,Deposits by States,current_fytd_net_rcpt_amt,40442945630.32,2024
mts_table_4,2024-09-30,Employment and General Retirement:,,,2024
mts_table_4,2024-09-30,Estate and Gift Taxes,current_fytd_net_rcpt_amt,31615876108.98,2024
mts_table_4,2024-09-30,Excise Taxes:,,,2024
mts_table_4,2024-09-30,Federal Disability Insurance Trust Fund:,,,2024
mts_table_4,2024-09-30,Federal Employees' Retirement--Employee Share,current_fytd_net_rcpt_amt,7930737010.95,2024
mts_table_4,2024-09-30,Federal Hospital Insurance Trust Fund:,,,2024
mts_table_4,2024-09-30,Federal Insurance Contributions Act Taxes,current_fytd_net_rcpt_amt,169254892000.0,2024
mts_table_4,2024-09-30,Federal Insurance Contributions Act Taxes,current_fytd_net_rcpt_amt,349848000000.0,2024
mts_table_4,2024-09-30,Federal Insurance Contributions Act Taxes,current_fytd_net_rcpt_amt,996721364000.0,2024
mts_table_4,2024-09-30,Federal Old-Age and Survivors Insurance Trust Fund:,,,2024
mts_table_4,2024-09-30,Federal Unemployment Taxes,current_fytd_net_rcpt_amt,8005052647.93,2024
mts_table_4,2024-09-30,Highway Trust Fund,current_fytd_net_rcpt_amt,42085523848.85,2024
mts_table_4,2024-09-30,Individual Income Taxes,,,2024
mts_table_4,2024-09-30,Miscellaneous Excise Taxes,current_fytd_net_rcpt_amt,41529045856.35,2024
