country_code,year,EG.USE.PCAP.KG.OE,NY.GDP.PCAP.KD,NY.GDP.PCAP.PP.KD,SP.POP.TOTL
1A,2024,,6311.25329101256,16802.4292966747,492612632.0
1W,2024,,11894.2521505051,21393.1843594226,8140897523.0
4E,2024,,10127.9180882519,20453.9723473779,2141122258.0
7E,2024,,8719.2497368167,24430.2175202769,250394482.0
8S,2024,,2329.35958665331,9307.06752508413,1677384532.0
AD,2000,,34113.8173783949,54809.1441679423,65685.0
AD,2001,,36790.1037086022,59109.0136806378,65852.0
AD,2002,,38084.4843108589,61188.6370851474,66506.0
AD,2003,,39620.3201605161,63656.1958332184,69486.0
AD,2004,,40054.3211531421,64353.4858113531,74325.0
AD,2005,,40528.17486238,65114.8053663021,77421.0
AD,2006,,41322.0529213846,66390.293726491,79585.0
AD,2007,,40789.1589697748,65534.1168555171,81877.0
AD,2008,,37775.1261404342,60691.6051530637,83495.0
AD,2009,,35604.3840098196,57203.9708883731,83888.0
AD,2010,,36277.2644425331,58285.0577756981,80706.0
AD,2011,,37637.4868342866,60470.4662377044,77783.0
AD,2012,,36206.9784356446,58172.1323929474,76834.0
AD,2013,,35684.1694347737,57332.1585611366,75194.0
AD,2014,,37300.6244197096,59929.2444670501,73737.0
AD,2015,,38654.9347217207,62105.1542389675,72174.0
AD,2016,,40085.020598622,64402.8092369468,72181.0
AD,2017,,39361.0622648699,63239.6577711911,73763.0
AD,2018,,39242.1448975099,63048.5985572834,75162.0
AD,2019,,39346.275035865,63215.899791913,76474.0
AD,2020,,34536.6499222556,55488.4902991095,77380.0
AD,2021,,36929.0191528644,59332.2029100127,78364.0
AD,2022,,39780.3966130791,63913.3835079105,79705.0
AD,2023,,40227.23352974,64631.2963909271,80856.0
AD,2024,,41223.9924906603,66232.7444195598,81938.0
AE,2024,,41605.4138706908,69701.785835525,10986400.0
AF,2000,,308.318269746638,1617.82647494969,20130327.0
AF,2001,,277.118051443941,1454.11078195559,20284307.0
AF,2002,,338.139973643387,1774.30874287341,21378117.0
AF,2003,,346.071627096223,1815.92819979586,22733049.0
AF,2004,,338.637273888197,1776.91820712187,23560654.0
AF,2005,,363.640141436773,1908.11478234587,24404567.0
AF,2006,,367.75831169358,1929.72389709372,25424094.0
AF,2007,,410.757728879097,2155.35306784413,25909852.0
AF,2008,,417.647282647498,2191.50435559062,26482622.0
AF,2009,,488.830652491949,2565.02208584099,27466101.0
AF,2010,,542.871030476037,2848.58606111495,28284089.0
AF,2011,,525.42698276582,2757.05258747725,29347708.0
AF,2012,,568.929021458341,2985.31914452845,30560034.0
AF,2013,,580.603833333096,3046.57993117128,31622704.0
AF,2014,,575.146245808546,3017.94254424696,32792523.0
AF,2015,,565.569730408751,2967.692067153,33831764.0
AF,2016,,563.872336723147,2958.7853992308,34700612.0
AF,2017,,562.769574140988,2952.99891598909,35688935.0
AF,2018,,553.125151688293,2902.39211285546,36743039.0
AF,2019,,557.861533207459,2927.2451435353,37856121.0
AF,2020,,527.834554499306,2769.68574507111,39068979.0
AF,2021,,408.625855217403,2144.16657002819,40000412.0
AF,2022,,377.665627080705,1981.71016810561,40578842.0
AF,2023,,378.06630312259,1983.81261992909,41454761.0
AF,2024,,374.37669620849,1964.45228895456,42647492.0
AG,2000,,15961.0918359058,25547.6120273679,74912.0
AG,2001,,15003.4389169034,24014.7754593511,76069.0
AG,2002,,14968.0703013883,23958.1638142071,77032.0
AG,2003,,15703.9347145491,25136.001691807,77884.0
AG,2008,,20464.786306605,32756.3067839753,82912.0
AG,2009,,17746.700856041,28405.6900929523,84173.0
AG,2010,,16135.397384487,25826.6086383235,85320.0
AG,2011,,15633.9091131821,25023.9174488179,86332.0
AG,2012,,15989.3900199779,25592.9066121735,87260.0
AG,2013,,15748.1952024226,25206.8458285339,88064.0
AG,2014,,15967.284996712,25557.5249124716,88765.0
AG,2015,,16077.6340769406,25734.1516444171,89409.0
AG,2016,,16635.895232831,26627.71453894,89969.0
AG,2017,,16992.9327495236,27199.1952402262,90468.0
