generated_award_id,piid,recipient_name,award_type,total_obligation_usd,total_account_obligation_usd,total_account_outlay_usd,outlay_minus_obligation_usd,outlay_to_obligation_ratio,subaward_count,total_subaward_amount_usd,date_signed
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,89233018CNR000004,,DEFINITIVE CONTRACT,14752575287.21,11020042560.88,9694027211.83,-1326015349.0499992,0.8796723931214916,3168,2789119984.38,2018-07-12
CONT_AWD_89233023FNR400103_8900_GS02F004HA_4732,89233023FNR400103,,DELIVERY ORDER,750680.89,750680.89,750680.89,0.0,1.0,0,,2023-02-20
CONT_AWD_89233024FNR000025_8900_89303022AMA000041_8900,89233024FNR000025,,BPA CALL,67060.82,67060.82,67060.82,0.0,1.0,0,,2024-05-30
CONT_AWD_89233024FNR000027_8900_89303022AMA000041_8900,89233024FNR000027,,BPA CALL,501906.6,501906.6,501906.6,0.0,1.0,0,,2024-09-25
CONT_AWD_89233024PNR000112_8900_-NONE-_-NONE-,89233024PNR000112,,PURCHASE ORDER,18004.88,8004.88,18004.88,10000.0,2.2492379648414467,0,,2024-02-27
CONT_AWD_89233118FNA000019_8900_DEMA0011379_8900,89233118FNA000019,,BPA CALL,282642.12,154854.55,199301.97,44447.42000000001,1.2870268907177738,0,,2018-05-23
CONT_AWD_89233118FNA400114_8900_GS00F0004T_4730,89233118FNA400114,,DELIVERY ORDER,1598894.76,182626.76,474515.25,291888.49,2.5982788612139864,0,,2018-09-14
CONT_AWD_89233119CNA000083_8900_-NONE-_-NONE-,89233119CNA000083,,DEFINITIVE CONTRACT,0.0,0.0,0.0,0.0,,0,,2019-05-10
CONT_AWD_89233119FNA000060_8900_DEMA0011379_8900,89233119FNA000060,,BPA CALL,252982.8,186538.44,202254.12,15715.679999999993,1.0842490159132885,0,,2019-08-28
CONT_AWD_89233119FNA400174_8900_GS02F013CA_4732,89233119FNA400174,,DELIVERY ORDER,283380.86,192725.76,241924.76,49199.0,1.2552798338945452,0,,2019-03-28
