transaction_id,award_id,recipient_name,recipient_uei,action_date,transaction_amount_usd,award_type,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics_code,naics_description,psc_code,psc_description,transaction_description,primary_place_of_performance
292027123,89233121FNA400379,"CRITERION SYSTEMS, L.L.C.",MPGNDNHHWM33,2024-09-24,-153432.37,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),NATIONAL NUCLEAR SECURITY ADMINISTRATION (DOE/NNSA) CYBER SECURITY SUPPORT SERVICES,"{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0001', 'zip5': '20585'}"
292030927,89243423FEE000263,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,2024-09-24,625031.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541512,COMPUTER SYSTEMS DESIGN SERVICES,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),ORDER FOR THE DOE EERE CIO BUSINESS OPERATIONS SUPPORT SERVICES (CBOSS) FOR THE INFORMATION TECHNOLOGY SUPPORT OFFICE (ITSO) CUSTOMER SUPPORT. MOD P00012 - INCREMENTAL FUNDING,"{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0110', 'zip5': '20585'}"
292031041,89243424FEE000356,ENERGY TECHNOLOGY ALLIANCE LLC,WDTLX4NKRKC8,2024-09-24,83076.75,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"SCIENTIFIC, ENGINEERING AND TECHNICAL SUPPORT (SETS) FOR THE HYDROGEN & FUEL CELL TECHNOLOGIES OFFICE (HFTO). P00006 IS TO INCORPORATE FUNDING.","{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '2542', 'zip5': '20024'}"
292031043,89243424FEE000359,ENERGY TECHNOLOGY ALLIANCE LLC,WDTLX4NKRKC8,2024-09-24,2670050.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"SCIENTIFIC, ENGINEERING AND TECHNICAL SUPPORT (SETS) FOR ADVANCED MANUFACTURING - OPERATIONS TEAM SUPPORT - 6-MONTH EXTENSION TO BASE YEAR.","{'city_name': 'GOLDEN', 'congressional_code': '07', 'country_name': 'UNITED STATES', 'county_code': '059', 'county_name': 'JEFFERSON', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '3916', 'zip5': '80401'}"
292031044,89243424FEE000360,ENERGY TECHNOLOGY ALLIANCE LLC,WDTLX4NKRKC8,2024-09-24,2200617.89,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"SCIENTIFIC, ENGINEERING AND TECHNICAL SUPPORT (SETS) FOR VEHICLE TECHNOLOGIES OFFICE. MOD P00005 - 6-MONTH EXTENSION TO BASE YEAR.","{'city_name': 'GOLDEN', 'congressional_code': '07', 'country_name': 'UNITED STATES', 'county_code': '059', 'county_name': 'JEFFERSON', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '2142', 'zip5': '80401'}"
292031049,89243424FEE000366,ENERGY TECHNOLOGY ALLIANCE LLC,WDTLX4NKRKC8,2024-09-24,431991.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"SCIENTIFIC, ENGINEERING, TECHNICAL SUPPORT SERVICES- OFFICE OF WIND ENERGY TECHNOLOGIES-P00003- 6 MONTH EXTENSION","{'city_name': 'BEND', 'congressional_code': '05', 'country_name': 'UNITED STATES', 'county_code': '017', 'county_name': 'DESCHUTES', 'location_country_code': 'USA', 'state_code': 'OR', 'state_name': 'Oregon', 'zip4': '2762', 'zip5': '97703'}"
292031050,89243424FEE000367,ENERGY TECHNOLOGY ALLIANCE LLC,WDTLX4NKRKC8,2024-09-24,1027000.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"SCIENTIFIC, ENGINEERING AND TECHNICAL SUPPORT (SETS) FOR THE OFFICE OF INDIAN ENERGY (OIE)-MOD P00005-6 MONTH EXTENSION","{'city_name': 'BEND', 'congressional_code': '05', 'country_name': 'UNITED STATES', 'county_code': '017', 'county_name': 'DESCHUTES', 'location_country_code': 'USA', 'state_code': 'OR', 'state_name': 'Oregon', 'zip4': '2762', 'zip5': '97703'}"
292031055,89243424FEE000373,ENERGY TECHNOLOGY ALLIANCE LLC,WDTLX4NKRKC8,2024-09-24,150000.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,SCIENTIFIC ENGINEERING AND TECHNICAL SUPPORT SETS OFFICE OF THE DEPUTY ASSISTANT SECRETARY OF OPERATIONS DASO-MOD 004- 6 MONTH EXTENSION,"{'city_name': 'BEND', 'congressional_code': '05', 'country_name': 'UNITED STATES', 'county_code': '017', 'county_name': 'DESCHUTES', 'location_country_code': 'USA', 'state_code': 'OR', 'state_name': 'Oregon', 'zip4': '2762', 'zip5': '97703'}"
292031077,89243424FEE000405,ENERGY TECHNOLOGY ALLIANCE LLC,WDTLX4NKRKC8,2024-09-24,4415671.14,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"SCIENTIFIC, ENGINEERING, TECHNICAL SUPPORT SERVICES- OFFICE OF INDUSTRIAL & EFFICIENCY DECARBONIZATION-MOD P00007- 6 MONTH EXTENSION","{'city_name': 'BEND', 'congressional_code': '05', 'country_name': 'UNITED STATES', 'county_code': '017', 'county_name': 'DESCHUTES', 'location_country_code': 'USA', 'state_code': 'OR', 'state_name': 'Oregon', 'zip4': '2762', 'zip5': '97703'}"
292033519,89303020CMA000053,"MELWOOD HORTICULTURAL TRAINING CENTER, INC.",ZVX7ZJ5WZ576,2024-09-24,20972.28,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561730,LANDSCAPING SERVICES,S208,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,"THE PURPOSE OF THIS MODIFICATION IS TO:  ADD FUNDING TO OPTION PERIOD 4 IN THE AMOUNT OF $20,972.28.00, IAW THE APPROVED EQUITABLE ADJUSTMENT REQUEST BASED UPON THE LATES LABOR WAGE RATES.","{'city_name': 'UPPER MARLBORO', 'congressional_code': '05', 'country_name': 'UNITED STATES', 'county_code': '033', 'county_name': 'PRINCE GEORGES', 'location_country_code': 'USA', 'state_code': 'MD', 'state_name': 'Maryland', 'zip4': '2403', 'zip5': '20772'}"
