prime_award_id,prime_award_internal_id,subaward_id,subaward_number,action_date,action_fiscal_year_derived,amount_usd,recipient_name,description
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2301507,144624,2021-12-01,2022,200000.0,LUNA INNOVATIONS INCORPORATED,CI-SCC TESTING
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2304955,139287-0006,2021-12-01,2022,51840.0,"HILL ENGINEERING, LLC",CONTRACT RESIDUAL STRESS MEASUREMENTS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2305458,139287-0005,2021-12-01,2022,86390.0,"HILL ENGINEERING, LLC",CONTRACT RESIDUAL STRESS MEASUREMENTS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2300431,144599,2021-12-02,2022,225000.0,ELECTRIC POWER RESEARCH INSTITUTE INC,EPRI ANT MEMBERSHIP FOR 2022 - 2024
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2304050,144598,2021-12-02,2022,150000.0,ELECTRIC POWER RESEARCH INSTITUTE INC,EPRI WRTC MEMBERSHIP
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2304139,136981-0073,2021-12-02,2022,41358.81,GEL LABORATORIES LLC,NAVAL REACTOR FACILITY 2020-2025 WASTE CHARACTERIZATION SAMPLING CONTRACT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2304143,144267,2021-12-02,2022,199500.0,STACK HIP LLC,MANUFACTURE OF SHELL TRIAL PART BY PM-HIP
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2307827,144828,2021-12-02,2022,66855.6,HANSON JANITORIAL SUPPLY INC,PURCHASE FLOOR CLEANERS FOR THE NSFH FACILITY WITHOUT BATTERIES AND STORED IN ID
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,984734,145001,2021-12-06,2022,30900.0,"JOHN C. BERRY & SONS, INC.",FUEL ORDER FOR BOILERS HEATING SEASON 2021-2022
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2297371,144981,2021-12-07,2022,44925.0,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",VIPER PHONES - BPMI
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2300419,144656,2021-12-07,2022,108233.4,GHA TECHNOLOGIES INC,NEW TEST EQUIPMENT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2301480,144965,2021-12-07,2022,64552.0,CENTRAL PRODUCTS LLC,CAFETERIA EQUIPMENT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2308231,144397,2021-12-07,2022,32837.52,WILSEA CORPORATION,RADIAC THERMO RO20AA VARIOUS PARTS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,980550,144558,2021-12-07,2022,134760.8,STERLING COMPUTERS CORPORATION,FY22 SUPPORT & MAINTENANCE RENEWAL (VMWARE)
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,990926,144547,2021-12-07,2022,39469.8,NITCO LLC,YALE PALLET TRUCKS FOR RML
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,999350,144554,2021-12-07,2022,175197.76,COLOSSAL CONTRACTING LLC,FY22 SUPPORT & MAINTENANCE RENEWAL (RUBRIK)
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,1003922,144513,2021-12-08,2022,69367.56,SOURCELINQ LLC,10-FOOT CONEX BOX PERFORMANCE LOCKERS FOR OUTDOOR FITNESS AREA
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2306232,144226,2021-12-08,2022,238325.0,GENERAL CONTROL SYSTEMS INC,"KS SWTF SCADA, PLC AND UPGRADE PROJECT"
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,984494,139166,2021-12-08,2022,3731820.27,"CHAMPION, INC.",CHAMPION SUBTIER DIRECT PAYMENT UNDER GRANITE CONSTRUCTION PO #7018988 (CS 106A)
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2302445,141756-0027,2021-12-09,2022,31225.0,GEL LABORATORIES LLC,ANALYZE BIOASSAY SAMPLES
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2308070,125052-0008,2021-12-09,2022,226534.0,WASHINGTON MILLS ELECTRO MINERALS CORPORATION,RELEASE 4 - PHASE III A14
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2308791,141113,2021-12-13,2022,8735661.0,WASHINGTON MILLS ELECTRO MINERALS CORPORATION,A8 MATERIAL PROCUREMENT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,982315,145092,2021-12-13,2022,59800.0,"JOHN C. BERRY & SONS, INC.",FUEL ORDER FOR BOILERS HEATING SEASON 2021-2022
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,985788,145090,2021-12-13,2022,59800.0,"JOHN C. BERRY & SONS, INC.",FUEL ORDER FOR BOILERS HEATING SEASON 2021-2022
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,995050,144852,2021-12-13,2022,124440.0,"VANGURA TOOL, INC.",ADDITIONAL MET LOADOUT EQUIPMENT.
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,995175,144974,2021-12-13,2022,189945.21,COLOSSAL CONTRACTING LLC,VTC HARDWARE PROCUREMENT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,2298166,144104,2021-12-14,2022,266000.0,MCFARLAND TECHNOLOGY INC,ADVANCED PLANT RESPONSE DEMONSTRATOR (APRD) SUBCONTRACTOR
