commodity,year,quantity_role,quantity_metric_tons,unit_basis
cement,1900,apparent_consumption,3074600.0,metric tons gross weight
cement,1900,production,2680400.0,metric tons gross weight
cement,1901,apparent_consumption,3299800.0,metric tons gross weight
cement,1901,production,3202400.0,metric tons gross weight
cement,1902,apparent_consumption,4427100.0,metric tons gross weight
cement,1902,production,4147600.0,metric tons gross weight
cement,1903,apparent_consumption,5237100.0,metric tons gross weight
cement,1903,production,4898000.0,metric tons gross weight
cement,1904,apparent_consumption,5315900.0,metric tons gross weight
cement,1904,production,5282700.0,metric tons gross weight
cement,1905,apparent_consumption,6750100.0,metric tons gross weight
cement,1905,production,6750300.0,metric tons gross weight
cement,1906,apparent_consumption,8934900.0,metric tons gross weight
cement,1906,production,8643600.0,metric tons gross weight
cement,1907,apparent_consumption,9092900.0,metric tons gross weight
cement,1907,production,8897800.0,metric tons gross weight
cement,1908,apparent_consumption,9058200.0,metric tons gross weight
cement,1908,production,9059000.0,metric tons gross weight
cement,1909,apparent_consumption,11332000.0,metric tons gross weight
cement,1909,production,11437000.0,metric tons gross weight
cement,1910,apparent_consumption,12992000.0,metric tons gross weight
cement,1910,production,13366000.0,metric tons gross weight
cement,1911,apparent_consumption,13166000.0,metric tons gross weight
cement,1911,production,13678000.0,metric tons gross weight
cement,1912,apparent_consumption,13623000.0,metric tons gross weight
cement,1912,production,14337000.0,metric tons gross weight
cement,1913,apparent_consumption,15498000.0,metric tons gross weight
cement,1913,production,15994000.0,metric tons gross weight
cement,1914,apparent_consumption,14974000.0,metric tons gross weight
cement,1914,production,15322000.0,metric tons gross weight
cement,1915,apparent_consumption,14484000.0,metric tons gross weight
cement,1915,production,14919000.0,metric tons gross weight
cement,1916,apparent_consumption,15448000.0,metric tons gross weight
cement,1916,production,15890000.0,metric tons gross weight
cement,1917,apparent_consumption,15639000.0,metric tons gross weight
cement,1917,production,16085000.0,metric tons gross weight
cement,1918,apparent_consumption,11923000.0,metric tons gross weight
cement,1918,production,12311000.0,metric tons gross weight
cement,1919,apparent_consumption,13572000.0,metric tons gross weight
cement,1919,production,13995000.0,metric tons gross weight
cement,1920,apparent_consumption,16744000.0,metric tons gross weight
cement,1920,production,17163000.0,metric tons gross weight
cement,1921,apparent_consumption,16769000.0,metric tons gross weight
cement,1921,production,16950000.0,metric tons gross weight
cement,1922,apparent_consumption,19597000.0,metric tons gross weight
cement,1922,production,19729000.0,metric tons gross weight
cement,1923,apparent_consumption,23791000.0,metric tons gross weight
cement,1923,production,23661000.0,metric tons gross weight
cement,1924,apparent_consumption,25910000.0,metric tons gross weight
cement,1924,production,25715000.0,metric tons gross weight
cement,1925,apparent_consumption,28318000.0,metric tons gross weight
cement,1925,production,27866000.0,metric tons gross weight
cement,1926,apparent_consumption,28807000.0,metric tons gross weight
cement,1926,production,28420000.0,metric tons gross weight
cement,1927,apparent_consumption,29540000.0,metric tons gross weight
cement,1927,production,29903000.0,metric tons gross weight
cement,1928,apparent_consumption,30231000.0,metric tons gross weight
cement,1928,production,30445000.0,metric tons gross weight
cement,1929,apparent_consumption,29202000.0,metric tons gross weight
cement,1929,production,29481000.0,metric tons gross weight
cement,1930,apparent_consumption,27227000.0,metric tons gross weight
cement,1930,production,27798000.0,metric tons gross weight
cement,1931,apparent_consumption,21745000.0,metric tons gross weight
cement,1931,production,21604000.0,metric tons gross weight
cement,1932,apparent_consumption,13729000.0,metric tons gross weight
cement,1932,production,13166000.0,metric tons gross weight
cement,1933,apparent_consumption,10860000.0,metric tons gross weight
cement,1933,production,10913000.0,metric tons gross weight
cement,1934,apparent_consumption,12877000.0,metric tons gross weight
cement,1934,production,13375000.0,metric tons gross weight
